,Core
20001,"-77.018798,38.910730"
20002,"-76.984152,38.904466"
20003,"-76.991153,38.880580"
20004,"-77.026214,38.895171"
20005,"-77.031821,38.905202"
20006,"-77.042047,38.897675"
20007,"-77.077305,38.913979"
20008,"-77.059321,38.937563"
20009,"-77.036869,38.920003"
20010,"-77.030272,38.933282"
20011,"-77.023408,38.954521"
20012,"-77.035392,38.977830"
20015,"-77.063297,38.966898"
20016,"-77.092401,38.939452"
20017,"-76.993028,38.938160"
20018,"-76.971420,38.928633"
20019,"-76.937517,38.892334"
20020,"-76.977764,38.860861"
20024,"-77.021224,38.879790"
20032,"-77.004226,38.832708"
20036,"-77.040762,38.908050"
20037,"-77.052083,38.901120"
